locate,symbol,prints,unpriced,min_tick,max_tick,shares,vwap_micro
719,ARL,5,0,133000,133400,16,133106250000
10992,THRV,12,0,244200,245300,1761,244568824531
4660,GGR,7,0,38600,39800,255,39363529411
9284,QXQ,9,0,315400,316600,1574,316031512071
4774,GLV,9,0,62600,62900,747,62766398929
7678,NDLS,46,0,122900,126500,2178,124502571166
3911,FCLD,2,0,338800,345700,576,339710416666
9892,SCHL,1405,0,389400,400800,59676,396652104698
3493,EMBD,17,0,235500,235900,635,235677322834
6963,MATV,820,0,81800,84500,34530,82938161019
10267,SMLF,31,0,819200,821500,1484,820401145552
1140,BCD,8,0,377300,377300,1000,377300000000
7610,NATR,564,0,220200,228200,19422,223783292142
7205,MISL,24,0,444100,450300,3419,446302632348
5720,IMOM,2,0,447200,447800,147,447228571428
3058,DMA,14,0,70800,71000,3006,70866733200
4293,FOUR-A,38,0,543400,550500,771,547667055771
3150,DSACW,1,0,4200,4200,1300,4200000000
6271,JZ,47,0,8500,11300,39551,8854576470
4253,FNCL,26,0,726500,732200,970,728163814432
6212,JPM-L,26,0,188800,189300,2473,189007480792
6148,JHMM,83,0,709700,713900,7348,711379994556
10488,SPWH,172,0,13000,13400,24158,13236985677
215,AEI,18,0,16400,17900,216,17169444444
126,ACNB,283,0,519300,525500,9126,520707692307
3204,DUKRW,181,0,7837,18000,35893,12033191708
3203,DUKR,276,0,70000,79900,104132,73380966465
2679,CURX,8,0,3003,3101,367,3061000000
3680,ETCO,3,0,113600,114600,218,113728440366
9348,RCKY,417,0,333400,343000,9051,335575682245
975,AXINR,17,0,1822,1900,3406,1899862595
11248,TSBK,207,0,390900,395000,3950,393403544303
11153,TPAY,1,0,536500,536500,95,536500000000
880,AUNA,276,0,47700,49400,11874,47950505305
12260,XBB,3,0,406800,406900,201,406849751243
3928,FCT,19,0,97700,98200,1721,98064206856
5333,HTD,22,0,250100,251500,1274,250932417582
11652,UYM,27,0,295300,296500,144,295900000000
4926,GROV,5,0,11800,11800,150,11800000000
4051,FGD,9,0,333200,334000,565,333903008849
4658,GGN-B,10,0,198500,199500,594,198826599326
2046,CENT,447,0,372100,377100,15713,374038509514
7217,MJSC,2,0,607500,610000,400,608750000000
7416,MSGE,601,0,678800,689400,21315,683591620924
4033,FFGX,2,0,330800,331400,140,331228571428
11598,USNA,448,0,178500,183500,15611,180602901800
8940,PRXV,5,0,329900,330600,51,330200000000
6178,JMSI,10,0,496900,497600,1470,497406802721
6404,KMTS,798,0,197500,215900,36116,204319595193
3781,EWD,98,0,493900,497300,2351,495768524032
3231,DVQQ,2,0,310200,313100,903,310209634551
7418,MSGS,894,0,3471600,3537100,14222,3500217880748
2402,COLL,1089,0,334200,347800,40856,338327787840
9137,QDEF,8,0,864500,868100,127,866088976377
8718,PKB,1,0,1027100,1027100,3,1027100000000
2956,DGICA,1501,0,170000,173200,57788,170849444521
4305,FPEI,96,0,192200,192400,7966,192310005021
3635,ERNAW,21,0,1200,1897,22538,1727565445
2317,CMSD,7,0,231100,231400,500,231280000000
12590,ZH,112,0,31300,31900,4013,31584674806
3617,EQLT,1,0,377400,377400,100,377400000000
2933,DFMC,13,0,546700,549300,1035,548215458937
7526,MVSTW,26,0,111,145,49167,137437285
9706,RUSHA,1105,0,686800,701100,39714,690023112756
3368,EE,523,0,354200,360600,12258,357894893131
10163,SJT,39,0,41000,42300,3609,41491410362
10248,SMCO,4,0,292000,293200,340,292647352941
9430,REVBW,187,0,85,326,371456,209135469
11064,TLYS,405,0,39900,42100,15426,40866802800
7111,METW,2,0,282300,284500,6,283033333333
3048,DLR-J,3,0,202800,202800,273,202800000000
12049,WDIG,1,0,501300,501300,40,501300000000
1776,BVC,158,0,95700,115600,2762,108274837074
5022,GUSE,2,0,439300,440300,98,439330612244
5530,IBTQ,16,0,247700,248200,1432,247941620111
3358,EDN,121,0,223300,234300,4299,226213235636
5005,GTO,70,0,466200,466800,5812,466357983482
5148,HEFT,5,0,268500,269200,354,268924858757
8682,PHYL,14,0,349500,349900,1030,349665825242
5024,GUT,17,0,62300,62700,8284,62513592467
7076,MEDI,2,0,301700,301900,101,301898019801
12592,ZHOG,7,0,512800,513000,601,512966389351
2319,CMTG,343,0,20500,21600,27205,21178676713
5293,HPS,4,0,145100,145600,740,145333918918
338,AIEQ,1,0,489200,489200,100,489200000000
10611,STK,4,0,500300,503400,302,503116887417
6778,LONA,152,0,109400,113200,4511,110674307248
5684,ILAG,26,0,41000,45500,1158,41909671848
12423,XRPNW,15,0,9400,10100,1783,9634997195
9515,RISN,2,0,290000,290100,217,290017972350
5322,HSPT,5,0,87600,89800,48,88312500000
9077,PXF,17,0,751300,753800,965,752495751295
12278,XCBEW,1,0,2800,2800,1000,2800000000
2005,CDIG,3,0,250100,250400,245,250155102040
4084,FIAX,2,0,175800,175800,105,175800000000
874,AUGT,1,0,375400,375400,73,375400000000
11147,TOUS,5,0,365000,365400,500,365120000000
9678,RSPU,21,0,772700,784100,954,775220859538
11384,TYD,2,0,232900,233500,750,233300000000
1111,BBN,20,0,157200,158400,4386,157938964888
8784,PMI,71,0,1580,1721,6704,1642867094
7607,NATH,59,0,1007000,1014400,1200,1009071833333
6177,JMSB,196,0,205200,210100,6084,207486916502
7532,MWYN,9,0,8400,8800,2796,8501644492
4707,GIWWU,1,0,103100,103100,99,103100000000
11674,VALN,35,0,57000,57900,10036,57531825428
7130,MFIN,482,0,93800,96100,24206,95658679666
8398,PAAA,41,0,514200,514300,4155,514285752105
2092,CGDG,132,0,370200,371400,12184,370658010505
8368,OWLS,59,0,57200,58900,4252,58395931326
6236,JSPR,225,0,8051,8805,35293,8349250474
4762,GLP,85,0,488400,502000,5904,492213211382
5264,HOMZ,1,0,422400,422400,154,422400000000
10881,TDSB,1,0,247500,247500,5,247500000000
608,AOTS,1,0,231000,231000,100,231000000000
4847,GOOW,1,0,815800,815800,1,815800000000
9398,REED,11,0,19400,22900,464,20968965517
4167,FLHY,30,0,241200,241600,3744,241426228632
